id,entities
0,"['training', 'mảng học tập', 'hoạt động', 'cách giao tiếp giữa em và thành viên CLB', 'code', 'nỗ lực', 'giờ đánh giá', 'đánh giá', 'điểm tiến bộ']"
1,"['CLB ProPTIT', 'Team AI', 'Team Mobile', 'Team Data', 'Team Game', 'Team Web', 'Team Backend', 'Java']"
2,"['CLB', 'fanpage', 'vòng CV', 'vòng Phỏng vấn', 'vòng Traning', 'Thông tin', 'Các bạn', 'Hãy theo dõi']"
3,"['CLB', 'CNTT', 'mảng']"
4,"['Câu lạc bộ Lập Trình PTIT (Programming PTIT)', 'PROPTIT', '9/10/2011', 'Chia sẻ để cùng nhau phát triển', 'sinh viên', 'Học viện', 'Lập Trình PTIT - Lập trình từ trái tim']"
5,"['Giải Khuyến Khích - Top 6 P-Innovation 2024', 'Jury Choice Award | Fossasia Hackathon 2024', 'Giải Nhì AI VietFuture 2023', 'Giải Nhì Kalapa Challenge Medical Question Answering 2023', 'Giải Khuyến Khích AI Tetris PTIT 2023', 'Giải Nhất ICPC PTIT 2023', '1st Runner-Up Junction Hackathon 2023 x Viettel', 'Huy chương vàng Olympic Toán 2023', 'Huy chương bạc Olympic Toán 2023', 'Giải Nhì ICPC PTIT 2022', 'Giải Ba Chuyên Tin 2022', 'Giải Ba ICPC Regional 2022', 'Giải Nhì UAVS Hackatrix 2021', 'Giải Nhì Cuộc Thi AICOVIDVN-115M Challenge', 'Giải Nhì ICPC PTIT 2020', 'Giải Nhìn ICPC National 2020', 'Giải Nhất ICPC 2020', 'Top 3 Cuộc Thi GameJam Hà Nội 2020', 'Giải Nhì Cuộc Thi Digital Race PTIT 2020', 'Giải Nhìn Cuộc Thi Vietnam AI Grand Challenge National 2019', 'Giải Nhì Kì Thi ICPC Asia Đà Nẵng 2019', 'Giải Ba - Huy Chương Đồng Vòng Quốc Tế 2019', 'Giải Nhất Phần thi AI - Code Battle 2019', 'Giải Ba Coding Inspiration 2018', 'Giải Vô Địch Chuyên Tin Olympic Tin Học Sinh Viên Việt Nam 2018']"
6,"['CLB', 'mảng']"
7,"['CLB', 'thành viên', 'team dự án', 'kỹ năng cần thiết']"
8,"['Câu lạc bộ Lập Trình PTIT (Programming PTIT)', 'PROPTIT', '9/10/2011']"
9,"['thành viên', 'CLB', 'tình thần', 'tôn trọng']"
10,"['thành viên', 'giờ học', 'deadline', 'vắng mặt']"
11,"['Câu lạc bộ', '100 điểm', 'vi phạm nghĩa vụ', 'Thành Viên Tiêu Biểu', 'CLB']"
12,"['AI', 'Mobile', 'Data', 'Web', 'Competitive Programming', 'IoT']"
13,"['quá trình tuyển thành viên', 'đơn đăng ký', 'phỏng vấn', ' thử thách thực tế', 'tình thần học hỏi', 'kỹ năng làm việc nhóm']"
14,"['CLB Lập Trình PTIT khóa 2024-2025', '2024-2025', 'Bùi Thế Vĩnh Nguyên', 'Nguyễn Hoa Thanh Tùng', 'Đặng Huyền Trang']"
15,"['CLB', 'lập trình', 'kỹ năng mềm', 'thành viên', 'hoạt động', 'sự kiện', 'chương trình giao lưu']"
16,"['thành viên', 'quần dài', 'không mặc áo ba lỗ', 'croptop', 'hai dây', 'đi dép lê', 'trụ sở', 'tài sản', 'tắt điện nước', 'đóng cửa', 'trật tự']"
17,"['Câu lạc bộ Lập Trình PTIT (Programming PTIT)', 'PROPTIT', '9/10/2011', 'Chia sẻ để cùng nhau phát triển', 'sinh viên', 'Học viện', 'Lập Trình PTIT - Lập trình từ trái tim']"
18,"['CLB', 'tình thần tương thân tương ái', 'hỗ trợ các CLB khác', 'hoạt động giao lưu, hợp tác']"
19,"['CLB', 'giai đoạn training', 'tinh thần học hỏi', 'khả năng làm việc nhóm', 'sự tuân thủ nội quy', 'nghĩa vụ', 'ghi điểm cao']"
20,"['CLB', 'CNTT', 'mảng']"
21,"['Nguyễn Văn Tuệ', 'Trần Việt Huy', 'Nguyễn Quốc Hưng', 'Bùi Thế Vĩnh Nguyên', 'Giáp Minh Hiếu']"
22,"['team', 'AI', 'Mobile', 'Data', 'Web', 'Competitive Programming', 'IoT', 'activities']"
23,"['thành viên', 'nội quy', 'điểm rèn luyện', 'danh hiệu']"
24,"['CLB']"
25,"['Chủ nhiệm', 'Phó chủ nhiệm', 'Trưởng ban đào tạo', 'Trưởng ban sự kiện', 'Trưởng ban truyền thông']"
26,"['thành viên mới', 'CLB', '9/10/2011']"
27,"['CLB', 'Quyền lợi', 'Nghĩa vụ']"
28,"['thành viên', 'thành viên phải đến sớm', 'mặc quần dài và áo lịch sự', 'không mặc áo ba lỗ, croptop hay dép lê', 'giữ trật tự, không làm việc riêng', 'tôn trọng người phát biểu', 'báo trước khi nghỉ hoặc đi muộn']"
29,"['CLB', 'ban phụ trách đào tạo', 'sự kiện', 'truyền thông', 'team dự án', 'AI', 'Mobile', 'Data', 'Web', 'IoT', 'Competitive Programming', 'team triển khai dự án thực tế']"
30,"['Chủ nhiệm', 'Phó chủ nhiệm', 'các trưởng ban']"
31,"['thành viên', '100 điểm rèn luyện', 'vi phạm nghĩa vụ', 'thành viên tiêu biểu', 'khen thưởng']"
32,"['thành viên', 'trang phục', 'trật tự', 'tôn trọng', 'vệ sinh']"
33,"['nếu nghỉ', 'xin phép', 'vi phạm', 'nếu đi muộn', 'điểm rèn luyện']"
34,"['CLB', 'tương thân tương ái', 'hòa đồng', 'hỗ trợ nhau', 'tôn trọng người phát biểu', 'tạo điều kiện giao lưu']"
35,"['CLB', 'giao lưu', 'hợp tác', 'thành viên', 'văn hóa', 'tác phong']"
36,"['CLB', 'SPOJ Tournament', 'ProCWar', 'SeaBattle', 'ProGameJam', 'ProGApp', 'Code Battle', 'Game Jam', 'Solo Code']"
37,"['team leader', 'task', 'member', 'complete tasks', 'on time', 'report progress']"
38,"['thành viên', 'trụ sở', 'thiết bị chung', 'vệ sinh', 'tự ý mang đồ ra ngoài', 'vi phạm', 'điểm rèn luyện']"
39,"['members', 'support', 'share', 'answer', 'quality']"
40,"['thành viên', 'áo CLB', 'đồng phục quy định', 'tác phong lịch sự', 'tinh thần tập thể']"
41,"['mục tiêu', 'đam mê', 'tinh thần học hỏi', 'văn hóa CLB', 'khả năng làm việc nhóm', 'thiềm năng phát triển']"
42,"['CLB', 'team building', 'giao lưu liên CLB', '3 bên CLB', 'cộng đồng S2B', 'sinh nhật CLB', 'sinh nhật cộng đồng S2B', 'dã ngoại']"
43,"['Thành viên', 'các thế hệ']"
44,"['CLB', 'CNTT', 'mảng', 'tập trung']"
45,"['team division', 'members', 'specialization', 'interest', 'strength', 'learning environment', 'practical training']"
46,"['buổi họp bàn', 'kế hoạch hoạt động', 'phân công nhiệm vụ', 'đánh giá tiến độ', 'giải quyết vấn đề', 'CLB']"
47,"['Áo CLB', 'đồng phục', 'sự kiện', 'hoạt động chính thức', 'giao lưu với đơn vị ngoài']"
48,"['trường hợp rèn luyện', 'thành phần tham gia', 'thế mạnh nội quy', 'đóng góp']"
49,"['CLB', 'giao lưu', 'truyền lửa', 'các buổi chia sẻ kinh nghiệm', 'các khóa', 'tăng sự gắn kết', ' truyền thống']"
50,"['tôn trọng ý kiến nhau', 'phân công hợp lý', 'hỗ trợ nhau khi cần', 'nhiệm vụ đúng hạn']"
51,"['vi phạm', 'trừ điểm rèn luyện', 'mất quyền lợi thành viên', 'CLB']"
52,"['CLB Lập Trình PTIT (Programming PTIT)', 'Programming PTIT']"
53,"['CLB']"
54,"['CLB', 'từ trường', 'công ty công nghệ', 'các tổ chức trong trường']"
55,"['thành viên', 'bài thuyết trình', 'demo', 'dùng cụ', 'set up']"
56,"['CLB', 'training', 'workshop', 'thảo luận nhóm', 'lộ trình', 'chương trình đào tạo', 'kiến thức', 'cung cấp', 'kiểm chứng', 'bổ sung', 'cập nhật']"
57,"['thành viên', 'chương trình']"
58,"['gợi ý', 'họp ban', 'nhóm chat', 'form góp ý', 'trình bày', 'ghi nhận']"
59,"['Ban truyền thông', 'fanpage', 'ấn phẩm', 'sự kiện', 'CLB']"
60,"['members', 'violates', 'rules', 'misses', 'classes', 'without permission', 'negative effects', 'team']"
61,"['CLB', 'doanh nghiệp đối tác', 'thông tin tuyển dụng', 'thành viên', 'cơ hội thực tập']"
62,"['CLB', 'bán hàng', 'sự kiện gây quỹ', 'hợp tác với nhà tài trợ']"
63,"['Ban sự kiện', 'lập kế hoạch', 'chương trình', 'điều phối nhân sự', 'đảm bảo các hoạt động diễn ra đúng tiến độ']"
64,"['drive chung', 'CLB', 'team']"
65,"['Chủ động', 'tham gia hoạt động', 'hỏi han', 'hỗ trợ', 'nội quy', 'văn hóa CLB']"
66,"['chia sẻ kiến thức', 'kinh nghiệm cá nhân', 'cảm hứng học tập', 'các thành viên']"
67,"['chuẩn bị ý tưởng', 'phân công nhân sự', 'hơn hoàn thiện sản phẩm', 'chạy thử', 'truyền thông giới thiệu']"
68,"['CLB']"
69,"['good achievements', 'leadership skills', 'approved by the director or members']"
70,"['CLB', 'lập trình C++', 'Python', 'web', 'mobile', 'AI']"
71,"['CLB', 'luyện đề', 'mock contest', 'tài liệu', 'tinh thần cổ vũ']"
72,"['CLB', 'Google Drive', 'Linear', 'group chat Messenger']"
73,"['vắng mặt', 'lý do chính đáng', 'thời hạn quy định']"
74,"['kiến thức cơ bản', 'chuyên ngành', 'team', 'dự án thực tế']"
75,"['tổ chức khen thưởng', 'môi trường thân thiện', 'gắn kết', 'đưa ra thử thách', 'thành viên', 'mục tiêu phấn đấu']"
76,"['CLB', 'mentor', 'team leader', 'hỗ trợ', 'tài liệu', 'dự án']"
77,"['luyện đề', 'giải thuật nhóm', 'mock contest']"
78,"['topic', 'computer', 'software', 'task distribution']"
79,"['Ban truyền thông', 'ban sự kiện', 'nội dung', 'hình ảnh', 'thời gian đăng tải thông tin']"
80,"['kỹ năng mềm', 'giao tiếp', 'quản lý dự án', 'làm việc nhóm', 'kỹ năng thuyết trình']"
81,"['đánh giá', 'hoạt động', 'đựng', 'nhiệm vụ']"
82,"['đề tài', 'xu hướng công nghệ mới', 'nhu cầu học tập của thành viên', 'các team']"
83,"['Nhắc nhở', 'yêu cầu', 'bổ sung', 'tái phạm', 'điểm rèn luyện', 'điều chuyển nhiệm vụ']"
84,"['fanpage Facebook', 'group Messenger', 'CLB trong trường']"
85,"['thành viên', 'sự kiện', 'ban chủ nhiệm', 'hỗ trợ triển khai']"
86,"['thành viên', 'hình ảnh chuyên nghiệp', 'tuân thủ hướng dẫn', 'trang phục phù hợp']"
87,"['Training', 'theory and practice', 'small groups', 'discuss and do exercises during class']"
88,"['người đại diện']"
89,"['CLB', 'nhóm liên lạc riêng', 'cựu thành viên', 'sự kiện', 'thế hệ mới']"
90,"['Yêu cầu', 'Ban Chủ nhiệm', 'Nhu cầu', 'Xin gửi', 'Xác nhận']"
91,"['tài liệu kỹ thuật', 'drive chung', 'truy cập', 'tự học', 'nâng cao kỹ năng']"
92,"['CLB', 'CLB khác', 'mối quan hệ', 'trao đổi kiến thức', 'học hỏi kinh nghiệm']"
93,"['tiêu chí', 'chất lượng sản phẩm', 'tính sáng tạo', 'khoảng cách làm việc nhóm', 'thời gian hoàn thành']"
94,"['mentor', 'kỹ thuật', 'giải đáp thắc mắc', 'thành viên mới']"
95,"['cảm biến', 'vi điều khiển', 'laptop', 'dụng cụ cần thiết']"
96,"['Hát', 'rõ ràng', '3 bài hát truyền thống']"
97,"['quần áo', 'quần dài', 'không áo ba lỗ', 'croptop', 'hai dây', 'không đi dép lê']"
98,"['tầm 25 bạn', 'du di', 'chất lượng']"
99,"['CLB', 'Phương châm hoạt động']"